Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month,Release Quarter,Power Density (W/mm2),Type_encoded,Vendor_ATI,Vendor_Intel,Vendor_NVIDIA,Vendor_Other,Foundry_Intel,Foundry_Other,Foundry_TSMC,Foundry_UMC,Foundry_Unknown
2007-02-20,65.0,45.0,77.0,122.0,2200.0,,,,2007.0,2.0,1.0,0.5844155844155844,0,False,False,False,False,False,False,False,False,True
2018-09-06,14.0,35.0,192.0,4800.0,3200.0,,,,2018.0,9.0,3.0,0.18229166666666666,0,False,False,False,False,False,False,False,False,True
2020-09-02,10.0,28.0,,,2600.0,,,,2020.0,9.0,3.0,,0,False,True,False,False,True,False,False,False,False
2013-09-01,22.0,80.0,160.0,1400.0,1800.0,,,,2013.0,9.0,3.0,0.5,0,False,True,False,False,True,False,False,False,False
2011-05-03,45.0,125.0,258.0,758.0,3700.0,,,,2011.0,5.0,2.0,0.4844961240310077,0,False,False,False,False,False,False,False,False,True
2013-09-01,22.0,95.0,160.0,1400.0,2400.0,,,,2013.0,9.0,3.0,0.59375,0,False,True,False,False,True,False,False,False,False
2008-03-27,65.0,125.0,285.0,450.0,2400.0,,,,2008.0,3.0,1.0,0.43859649122807015,0,False,False,False,False,False,False,False,False,True
2006-01-16,65.0,130.0,140.0,376.0,3000.0,,,,2006.0,1.0,1.0,0.9285714285714286,0,False,True,False,False,True,False,False,False,False
2020-09-02,10.0,28.0,,,2000.0,,,,2020.0,9.0,3.0,,0,False,True,False,False,True,False,False,False,False
2006-05-23,90.0,89.0,156.0,154.0,2200.0,,,,2006.0,5.0,2.0,0.5705128205128205,0,False,False,False,False,False,False,False,False,True
2004-08-01,130.0,62.0,80.0,37.0,1992.0,,,,2004.0,8.0,3.0,0.775,0,False,False,False,False,False,False,False,False,True
2012-10-19,22.0,35.0,160.0,1480.0,2200.0,,,,2012.0,10.0,4.0,0.21875,0,False,True,False,False,True,False,False,False,False
2012-09-01,40.0,9.0,75.0,,1000.0,,,,2012.0,9.0,3.0,0.12,0,False,False,False,False,False,False,False,False,True
2018-04-05,14.0,28.0,123.0,,2600.0,,,,2018.0,4.0,2.0,0.22764227642276422,0,False,True,False,False,True,False,False,False,False
2007-12-19,65.0,95.0,285.0,450.0,2300.0,,,,2007.0,12.0,4.0,0.3333333333333333,0,False,False,False,False,False,False,False,False,True
2013-09-01,22.0,12.0,118.0,1400.0,1200.0,,,,2013.0,9.0,3.0,0.1016949152542373,0,False,True,False,False,True,False,False,False,False
2008-09-01,65.0,35.0,,,2300.0,,,,2008.0,9.0,3.0,,0,False,False,False,False,False,False,False,False,True
2005-06-01,90.0,84.0,109.0,125.0,2660.0,,,,2005.0,6.0,2.0,0.7706422018348624,0,False,True,False,False,True,False,False,False,False
2013-09-01,22.0,80.0,160.0,1400.0,2500.0,,,,2013.0,9.0,3.0,0.5,0,False,True,False,False,True,False,False,False,False
2006-05-23,90.0,110.0,199.0,233.0,2400.0,,,,2006.0,5.0,2.0,0.5527638190954773,0,False,False,False,False,False,False,False,False,True
2012-06-01,22.0,17.0,118.0,,1800.0,,,,2012.0,6.0,2.0,0.1440677966101695,0,False,True,False,False,True,False,False,False,False
2004-12-01,90.0,55.0,,106.0,2200.0,,,,2004.0,12.0,4.0,,0,False,False,False,False,False,False,False,False,True
2000-08-14,180.0,60.0,120.0,37.0,1100.0,,,,2000.0,8.0,3.0,0.5,0,False,False,False,False,False,False,False,False,True
2009-06-02,45.0,130.0,263.0,731.0,3333.0,,,,2009.0,6.0,2.0,0.49429657794676807,0,False,True,False,False,True,False,False,False,False
2001-01-01,90.0,67.0,115.0,105.0,2200.0,,,,2001.0,1.0,1.0,0.5826086956521739,0,False,False,False,False,False,False,False,False,True
2005-11-14,90.0,84.0,109.0,169.0,3800.0,,,,2005.0,11.0,4.0,0.7706422018348624,0,False,True,False,False,True,False,False,False,False
2005-05-26,90.0,130.0,206.0,169.0,3000.0,,,,2005.0,5.0,2.0,0.6310679611650486,0,False,True,False,False,True,False,False,False,False
2018-11-16,14.0,170.0,213.0,4800.0,3100.0,,,,2018.0,11.0,4.0,0.7981220657276995,0,False,False,False,False,False,False,False,False,False
2004-06-21,90.0,115.0,109.0,125.0,3400.0,,,,2004.0,6.0,2.0,1.055045871559633,0,False,True,False,False,True,False,False,False,False
2001-07-01,130.0,30.0,80.0,44.0,1266.0,,,,2001.0,7.0,3.0,0.375,0,False,True,False,False,True,False,False,False,False
2009-07-22,45.0,45.0,117.0,234.0,2700.0,,,,2009.0,7.0,3.0,0.38461538461538464,0,False,False,False,False,False,False,False,False,True
2017-06-29,14.0,170.0,213.0,4800.0,2000.0,,,,2017.0,6.0,2.0,0.7981220657276995,0,False,False,False,False,False,False,False,False,False
2010-09-14,45.0,4.0,26.0,47.0,1600.0,,,,2010.0,9.0,3.0,0.15384615384615385,0,False,True,False,False,True,False,False,False,False
2013-09-01,22.0,130.0,160.0,1400.0,3000.0,,,,2013.0,9.0,3.0,0.8125,0,False,True,False,False,True,False,False,False,False
2021-04-06,10.0,270.0,,,2300.0,,,,2021.0,4.0,2.0,,0,False,True,False,False,True,False,False,False,False
2014-04-06,22.0,300.0,350.0,5000.0,1238.0,,,,2014.0,4.0,2.0,0.8571428571428571,0,False,True,False,False,True,False,False,False,False
2018-09-01,14.0,65.0,,,3700.0,,,,2018.0,9.0,3.0,,0,False,True,False,False,True,False,False,False,False
